"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW4,SW3";"PinHeader_1x03_P2.54mm_Vertical";2;"SW_SPDT";;;
2;"BT1";"BatteryHolder_Keystone_1042_1x18650";1;"Battery";;;
3;"R1,R3,R2,R4";"R_0805_2012Metric";4;"R";;;
4;"SW2";"SW_PUSH_6mm_H9.5mm";1;"SW_Push_Open";;;
5;"BZ1";"PUIAudio_SMT_0825_S_4_R";1;"Buzzer";;;
6;"H1,H4,H2,H3";"MountingHole_2.2mm_M2";4;"MountingHole";;;
7;"J2,J1";"PinHeader_1x40_P2.54mm_Vertical";2;"Conn_01x40_Socket";;;
8;"U1";"YR903_RFID_Scanner_FPC";1;"~";;;
9;"Brd1";"128x64OLED_v2";1;"SSD1306";;;
10;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Socket";;;
11;"U4";"GM67_Barcode_Scanner";1;"~";;;
12;"U6";"CY8CPROTO-062-4343W_v3";1;"~";;;
13;"D1,D2";"LED_D3.0mm";2;"LED";;;
14;"SW1";"SW_PUSH-12mm";1;"SW_Push_Open";;;
15;"U5";"Quad_SPI_flash_microSD_v2";1;"~";;;
16;"U3";"MT3608_module_v2";1;"~";;;
17;"U2";"TP4056-18650_v2";1;"~";;;
